# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-s" "1" "-t" "gene" "-g" "ID" "--primary" "-T" "16" "-a" "../sacCer3/sacCer3_RENAMED.gff" "-o" "wrs3_s1_counts.txt" "BRR1_WRS1_dupl.bam" "BRR1_WRS2_dupl.bam" "BRR2_WRS1_dupl.bam" "BRR2_WRS2_dupl.bam" "BRR3_WRS1_dupl.bam" "BRR3_WRS2_dupl.bam" 
Geneid	Chr	Start	End	Strand	Length	BRR1_WRS1_dupl.bam	BRR1_WRS2_dupl.bam	BRR2_WRS1_dupl.bam	BRR2_WRS2_dupl.bam	BRR3_WRS1_dupl.bam	BRR3_WRS2_dupl.bam
YFL068W	6	53	535	+	483	0	2	0	0	0	0
YFL067W	6	836	1363	+	528	4	18	13	8	12	13
YFL066C	6	1437	2615	-	1179	1022	1204	809	1182	1689	916
YFL065C	6	3030	3338	-	309	159	100	98	122	97	106
YFL064C	6	3322	3846	-	525	100	65	52	80	154	62
YFL063W	6	5066	5521	+	456	0	15	2	4	15	2
YFL062W	6	6426	7565	+	1140	120	180	69	213	94	145
YFL061W	6	9545	10222	+	678	16	42	30	19	59	17
YFL060C	6	10301	10969	-	669	1099	1553	1232	1610	1979	1041
YFL059W	6	11363	12259	+	897	6160	3668	2544	4340	4228	2197
YFL058W	6	12929	13951	+	1023	66	634	312	746	769	1007
YFL055W	6	17004	18680	+	1677	2516	1740	3718	1445	2465	1011
YFL054C	6	20847	22787	-	1941	2549	8911	3166	6732	6858	6259
YFL053W	6	23423	25198	+	1776	44	120	93	158	137	106
YFL052W	6	28232	29629	+	1398	2688	2892	1142	2295	1827	1550
YFL051C	6	30058	30540	-	483	0	13	10	6	17	2
YFL050C	6	33272	35848	-	2577	2435	2472	2490	2092	4078	1712
YFL049W	6	36803	38674	+	1872	5309	6908	5600	5275	6916	4582
YFL048C	6	38843	40180	-	1338	6552	6280	4777	4206	5052	3295
YFL047W	6	40421	42565	+	2145	2296	1730	2187	1620	6326	1486
YFL046W	6	42815	43438	+	624	4765	5842	4125	4845	6724	3846
YFL045C	6	43628	44392	-	765	14709	13010	8338	14408	16224	11593
YFL044C	6	44655	45560	-	906	4956	7608	4662	5864	6880	4801
YFL042C	6	45720	47744	-	2025	1627	10303	2881	7023	6847	5453
YFL041W-A	6	48734	48925	+	192	283	580	188	451	285	320
YFL041W	6	49139	51007	+	1869	5394	5805	4458	3092	4594	2328
YFL040W	6	51350	52972	+	1623	75	98	71	52	52	26
YFL039C	6	53260	54696	-	1437	8062	59207	26055	45525	46479	40404
YFL038C	6	55366	55986	-	621	20665	39400	21333	31195	30902	25563
YFL037W	6	56336	57709	+	1374	17450	25621	13098	19277	16683	15827
YFL036W	6	58782	62837	+	4056	11922	27509	17505	21250	26465	16541
YFL034C-B	6	63016	63993	-	978	308	969	704	656	1622	573
YFL034C-A	6	64243	64932	-	690	6485	7326	13220	11832	14457	11806
YFL034W	6	65477	68698	+	3222	3994	6235	4213	4454	10315	3940
YFL033C	6	69115	74427	-	5313	2552	12906	6628	10080	16219	7626
YFL032W	6	74872	75192	+	321	4231	3574	2197	1961	1941	2090
YFL031W	6	75179	76147	+	969	72275	64951	38960	55948	59798	45896
YFL031C-A	6	76014	76115	-	102	13	7	18	6	6	6
YFL030W	6	76831	77988	+	1158	7122	12500	5979	15827	11679	9747
YFL029C	6	78055	79161	-	1107	2092	2928	2154	2440	3123	1876
YFL028C	6	79344	80213	-	870	6911	3556	4995	3304	5230	2796
YFL027C	6	80419	81912	-	1494	4617	3891	4274	3410	4680	3071
YFL026W	6	82580	83875	+	1296	774	804	1069	802	1372	669
YFL025C	6	84145	87234	-	3090	2569	3435	3322	3179	4198	2170
YFL024C	6	87847	90345	-	2499	8245	13597	8602	8972	10057	11033
YFL023W	6	90986	93376	+	2391	6777	3550	10238	4645	14580	3509
YFL022C	6	93499	95010	-	1512	2131	3950	4821	3136	10717	2835
YFL021C-A	6	95761	96615	-	855	37	116	47	44	74	49
YFL021W	6	95966	97498	+	1533	3051	2202	4084	1855	9098	1855
YFL020C	6	99231	99599	-	369	3	72	22	88	53	53
YFL019C	6	100252	100605	-	354	30	143	70	158	112	111
YFL018C	6	101628	103127	-	1500	10585	38213	15533	27695	32228	22603
YFL017W-A	6	103699	103932	+	234	2398	2499	2205	1978	2888	2169
YFL017C	6	103983	104462	-	480	3674	4962	2567	3990	4011	3898
YFL016C	6	104701	106236	-	1536	9510	16003	7425	17027	13590	12768
YFL015W-A	6	106415	106732	+	318	7	24	22	19	22	35
YFL015C	6	106469	106963	-	495	0	21	5	13	4	16
YFL014W	6	107256	107585	+	330	109998	805447	185857	569610	204312	679361
YFL013W-A	6	107799	108602	+	804	963	9146	1861	5995	2026	6469
YFL013C	6	107852	109930	-	2079	7742	14263	8110	8931	12173	6429
YFL012W-A	6	109810	110184	+	375	88	69	68	91	65	58
YFL012W	6	110647	111093	+	447	100	87	107	81	164	57
YFL011W	6	112345	113985	+	1641	43	123	47	72	74	50
YFL010W-A	6	114990	115274	+	285	65	33	32	50	33	52
YFL010C	6	115108	115743	-	636	6883	13398	9518	11913	12794	9661
YFL009W	6	116145	118484	+	2340	5148	6919	4663	4980	7926	3872
YFL008W	6	119429	123106	+	3678	12387	14470	9776	11488	20892	8053
YFL007W	6	123479	129910	+	6432	31523	49879	29231	33795	49207	27740
YFL005W	6	130334	130981	+	648	12637	13730	8441	11312	12622	9410
YFL004W	6	131810	134296	+	2487	17754	21683	15428	13702	19902	10719
YFL003C	6	134521	137157	-	2637	439	687	664	567	823	662
YFL002C	6	145114	146934	-	1821	5721	4247	6287	3582	8583	3327
YFL001W	6	147131	148459	+	1329	7233	3501	5932	3641	6212	3024
YFR001W	6	149110	149724	+	615	14171	7433	12040	5516	12577	4291
YFR002W	6	150016	152535	+	2520	13773	10960	11291	8322	14050	6988
YFR003C	6	152657	153124	-	468	6525	13534	3769	9749	6161	8574
YFR004W	6	153393	154313	+	921	17061	19768	11082	12166	14087	10063
YFR005C	6	154527	155873	-	1347	1730	2015	2482	1638	2813	1629
YFR006W	6	156145	157752	+	1608	10758	17918	10247	10716	15189	9194
YFR007W	6	159299	160360	+	1062	427	1835	739	1649	1262	1272
YFR008W	6	160535	161200	+	666	2648	3104	1514	2281	2260	1921
YFR009W	6	162488	164746	+	2259	19866	10089	13399	7861	13893	6179
YFR009W-A	6	163875	164132	+	258	0	0	0	0	0	0
YFR010W	6	165067	166566	+	1500	8154	14919	8636	10432	12148	8225
YFR010W-A	6	166728	166916	+	189	19	15	13	14	13	6
YFR011C	6	166746	167258	-	513	9347	11273	7799	9365	9910	7508
YFR012W	6	167888	168496	+	609	14	81	110	127	109	122
YFR012W-A	6	169224	169310	+	87	13	61	57	36	62	45
YFR013W	6	169922	172285	+	2364	9601	7528	7453	6282	10143	4594
YFR014C	6	172537	173877	-	1341	16094	23978	11742	17062	15193	13704
YFR015C	6	174265	176391	-	2127	2426	19411	1178	11995	4836	8305
YFR016C	6	177042	180743	-	3702	3080	11824	4542	7714	16934	5584
YFR017C	6	182274	182861	-	588	213	6633	387	3855	1566	4209
YFR018C	6	183131	184222	-	1092	3793	4381	2406	2638	3143	2244
YFR019W	6	184502	191338	+	6837	2671	10303	3597	6662	17100	5641
YFR020W	6	192737	193435	+	699	478	628	388	453	863	400
YFR021W	6	194812	196314	+	1503	538	2828	1457	2398	2767	2076
YFR022W	6	196833	199034	+	2202	570	1583	1006	1568	1701	1421
YFR023W	6	199874	201709	+	1836	470	521	400	497	485	425
YFR024C-A	6	201960	203433	-	1474	7172	12791	6346	8675	10606	6859
YFR025C	6	203743	204750	-	1008	5224	3103	3008	2834	4202	2475
YFR026C	6	205748	206257	-	510	644	586	328	567	762	452
YFR027W	6	207452	208297	+	846	1561	1317	814	1362	2241	1043
YFR028C	6	208413	210068	-	1656	5261	6810	5683	4745	5911	4407
YFR029W	6	210937	212973	+	2037	729	2786	1728	2174	4981	1865
YFR030W	6	213312	216419	+	3108	50468	19533	59501	16457	75721	7312
YFR031C	6	216594	220106	-	3513	6597	10858	8757	8682	12756	6056
YFR031C-A	6	220507	221418	-	912	41759	55980	62776	47619	82901	45476
YFR032C	6	222090	222959	-	870	47	106	562	363	827	79
YFR032C-A	6	223258	223771	-	514	69430	46970	54429	49653	60980	48272
YFR032C-B	6	223710	223973	-	264	105	192	105	84	83	153
YFR033C	6	224326	224769	-	444	79428	105570	62368	85917	87931	63980
YFR034C	6	225020	225958	-	939	10502	9987	13849	8861	15051	7266
YFR034W-A	6	226022	226309	+	288	1080	1814	1981	2253	2132	2160
YFR035C	6	226121	226465	-	345	198	176	254	255	278	141
YFR036W	6	226963	227337	+	375	752	1841	2667	2589	2574	2029
YFR036W-A	6	227451	228101	+	651	285	369	491	391	435	386
YFR037C	6	227513	229186	-	1674	25559	24867	19601	16377	23113	13213
YFR038W	6	229380	231941	+	2562	2375	2793	2515	2053	7913	1771
YFR039C	6	232012	233544	-	1533	4939	3874	3826	2900	4433	2298
YFR040W	6	234242	237250	+	3009	7207	12150	9449	9572	18158	8119
YFR041C	6	237368	238255	-	888	1793	4439	2289	3133	3095	2630
YFR042W	6	238458	239060	+	603	2182	2498	1328	1950	2546	1685
YFR043C	6	239114	239827	-	714	1768	2557	1914	2018	2586	1665
YFR044C	6	239992	241437	-	1446	9508	15775	9399	11940	13673	9254
YFR045W	6	241998	242999	+	1002	936	2394	731	2096	1435	1709
YFR046C	6	243074	244159	-	1086	3175	3124	2644	2763	4401	2073
YFR047C	6	244279	245166	-	888	5221	11866	6017	10870	11013	7687
YFR048W	6	246146	248134	+	1989	1390	2343	1835	1922	4736	1564
YFR049W	6	248523	248894	+	372	8619	16757	8083	15309	14706	12183
YFR050C	6	249066	249866	-	801	11937	17169	10002	12260	12945	10266
YFR051C	6	250163	251803	-	1641	2815	14006	7507	9969	9794	7689
YFR052W	6	252505	253329	+	825	4883	13425	6483	8333	8788	7453
YFR052C-A	6	253429	253734	-	306	908	16381	1543	13028	5772	11211
YFR053C	6	253592	255049	-	1458	6603	160108	14227	98404	55150	80870
YFR054C	6	258855	259433	-	579	14	50	16	62	56	31
YFR056C	6	263957	264325	-	369	0	2	8	3	21	5
YFR055W	6	264204	265226	+	1023	1444	506	1534	838	1409	589
YFR057W	6	269061	269516	+	456	0	10	0	0	2	0
YGL263W	7	2790	3932	+	1143	279	364	162	271	342	229
YGL262W	7	5312	5839	+	528	158	288	87	268	236	215
YGL261C	7	6290	6652	-	363	5	8	5	14	14	10
YGL260W	7	6860	7090	+	231	0	4	0	0	0	0
YGL259W	7	8470	8967	+	498	41	111	29	129	62	87
YGL258W-A	7	9162	9395	+	234	19	45	10	62	39	49
YGL258W	7	11110	11730	+	621	19	17	29	9	37	17
YGL257C	7	12481	14157	-	1677	5099	4709	4823	3222	5378	2811
YGL256W	7	15159	16307	+	1149	418	343	399	216	1522	256
YGL255W	7	20978	22108	+	1131	330	545	319	494	966	338
YGL254W	7	22304	23203	+	900	1823	1935	2105	2036	2865	1701
YGL253W	7	23935	25395	+	1461	37464	17971	29398	19836	42262	14612
YGL252C	7	25718	27484	-	1767	6391	8438	6295	6143	9668	5276
YGL251C	7	27921	31636	-	3716	263	1022	456	846	1110	712
YGL250W	7	31910	32635	+	726	908	2305	795	1566	1467	1477
YGL249W	7	33098	35212	+	2115	492	566	421	513	672	478
YGL248W	7	35653	36762	+	1110	2421	6752	2680	4914	4756	3970
YGL247W	7	36933	37526	+	594	3636	2529	2872	2439	2809	2101
YGL246C	7	37617	38780	-	1164	9200	3478	6589	3734	6505	3218
YGL245W	7	39023	41149	+	2127	14382	40098	26222	28810	38702	20310
YGL244W	7	41498	43174	+	1677	15578	14255	13046	10144	16620	8014
YGL243W	7	43307	44509	+	1203	4080	2214	3129	1981	3255	2048
YGL242C	7	44652	45197	-	546	3226	4979	3024	5594	5781	4267
YGL241W	7	45445	48459	+	3015	3973	4234	3858	3853	6484	3033
YGL240W	7	48613	49365	+	753	992	1376	1324	1062	1765	1001
YGL239C	7	49431	49745	-	315	0	4	2	0	0	0
YGL238W	7	49552	52434	+	2883	9956	11059	10432	8357	13046	7497
YGL237C	7	52731	53528	-	798	361	1021	347	639	1291	672
YGL236C	7	53787	55796	-	2010	6781	3919	6210	3539	7655	2787
YGL235W	7	55279	55815	+	537	45	67	64	73	77	63
YGL234W	7	56482	58890	+	2409	16931	14129	23179	14187	25996	10841
YGL233W	7	59122	61854	+	2733	7403	8481	5788	6163	8417	5334
YGL232W	7	62075	63002	+	928	7205	6166	5723	5262	6967	4346
YGL231C	7	63048	63620	-	573	7801	7609	5337	5893	6472	5171
YGL230C	7	63772	64215	-	444	93	142	75	112	100	114
YGL229C	7	64503	66959	-	2457	133	619	146	612	675	543
YGL228W	7	67598	69331	+	1734	5520	13001	7842	7683	9106	5484
YGL227W	7	69671	72547	+	2877	7434	16548	3789	12846	9864	9049
YGL226C-A	7	72749	73158	-	410	411	3549	1506	3726	1763	3463
YGL226W	7	73340	73711	+	372	3822	5617	3093	4747	5029	3549
YGL225W	7	76894	77907	+	1014	1362	1421	1326	1177	3232	961
YGL224C	7	78015	78857	-	843	2954	1872	2801	2132	2836	1776
YGL223C	7	79112	80365	-	1254	1267	3113	2045	2674	2969	2186
YGL222C	7	80659	81186	-	528	834	5910	1537	3510	1660	3160
YGL221C	7	81426	82292	-	867	5734	8128	5924	6298	8912	5824
YGL220W	7	82374	82736	+	363	6130	5671	4592	5717	7410	4917
YGL219C	7	82878	84257	-	1380	1256	3330	1557	1958	5434	1662
YGL218W	7	83650	84300	+	651	6	10	16	3	5	2
YGL217C	7	84839	85180	-	342	2	4	9	4	7	5
YGL216W	7	84885	87302	+	2418	735	2775	1158	1771	5060	1771
YGL215W	7	87981	89339	+	1359	3114	5656	5885	4485	14325	3663
YGL214W	7	90010	90495	+	486	11	39	58	29	70	19
YGL213C	7	90054	91247	-	1194	3914	4050	3598	3260	4611	2794
YGL212W	7	91432	92382	+	951	4520	4633	3034	3765	4888	3010
YGL211W	7	92512	93591	+	1080	5023	3519	4337	3024	5356	2533
YGL210W	7	93792	94460	+	669	7872	8023	7310	6762	8558	5114
YGL209W	7	95858	97006	+	1149	50	1037	949	2697	2827	1853
YGL208W	7	97338	98585	+	1248	7576	11516	5034	7157	6325	5951
YGL207W	7	98969	102076	+	3108	20844	26667	21165	20351	33209	14717
YGL206C	7	102543	107504	-	4962	29439	57893	29108	41757	47555	28297
YGL205W	7	108158	110404	+	2247	1792	75557	11020	38463	36064	31603
YGL204C	7	111700	112005	-	306	800	757	606	678	632	727
YGL203C	7	112475	114664	-	2190	5772	8612	11259	7343	10172	5116
YGL202W	7	116059	117561	+	1503	7452	6603	8466	5974	14378	4562
YGL201C	7	117854	120907	-	3054	4823	7056	8585	5884	14505	4809
YGL200C	7	122694	123305	-	612	12287	14470	8367	14131	16670	10820
YGL199C	7	123572	124042	-	471	96	80	76	47	112	52
YGL198W	7	123591	124298	+	708	2933	5233	2517	3974	3494	3407
YGL197W	7	124698	129161	+	4464	2872	9867	3646	6325	20254	5472
YGL196W	7	129883	131169	+	1287	16788	16454	11245	12094	14489	9883
YGL195W	7	131525	139543	+	8019	52930	38157	34916	28271	48237	21053
YGL194C-A	7	139719	139961	-	243	880	1126	879	1201	1132	1229
YGL194C	7	140368	141726	-	1359	3099	4073	3051	3015	5766	2949
YGL193C	7	141916	142227	-	312	78	144	90	132	140	120
YGL192W	7	142246	144048	+	1803	6496	6596	3829	4250	5103	3539
YGL191W	7	144808	145197	+	390	27827	36078	20617	32063	31922	27807
YGL190C	7	145809	147389	-	1581	3770	9290	4164	7065	10865	6090
YGL189C	7	148229	148966	-	738	10050	40187	23842	41174	32914	43080
YGL188C-A	7	148824	148964	-	141	0	0	0	0	0	0
YGL188C	7	149343	149516	-	174	14389	19216	9923	14415	15018	11926
YGL187C	7	149704	150525	-	822	29348	33650	19871	27919	29453	23824
YGL186C	7	151037	152776	-	1740	11269	6214	9010	5310	7803	4019
YGL185C	7	153167	154306	-	1140	4479	4122	3880	3535	5705	2781
YGL184C	7	154615	156012	-	1398	14399	3348	23915	3024	12368	2257
YGL183C	7	156543	157285	-	743	567	254	456	150	512	220
YGL182C	7	157273	157596	-	324	150	132	212	177	177	85
YGL181W	7	157906	159096	+	1191	5550	9415	5156	6208	6872	5208
YGL180W	7	160065	162758	+	2694	1073	7808	3108	6184	6650	4669
YGL179C	7	163409	165091	-	1683	1200	1345	1393	1760	1221	1090
YGL178W	7	167352	170571	+	3220	1934	4007	3902	3918	6047	2940
YGL177W	7	167559	167906	+	348	0	0	0	0	0	0
YGL176C	7	171415	173079	-	1665	876	2334	1850	2300	3252	2088
YGL175C	7	173285	174322	-	1038	705	1463	969	1549	2352	1303
YGL174W	7	174545	175345	+	801	1054	2707	1856	1931	2785	1673
YGL173C	7	175527	180113	-	4587	16639	46059	21310	30058	34307	23217
YGL172W	7	180700	182118	+	1419	5985	6485	5472	5052	6984	4350
YGL171W	7	182390	184084	+	1695	10866	3383	13873	4653	12654	3559
YGL170C	7	184153	185394	-	1242	76	225	99	168	176	226
YGL169W	7	186059	187339	+	1281	7390	2127	6446	2234	5632	2209
YGL168W	7	187464	187796	+	333	501	169	467	154	315	128
YGL167C	7	187616	190468	-	2853	8334	12295	8293	7136	9008	5433
YGL166W	7	191129	191806	+	678	12614	5814	5971	3756	5711	3410
YGL165C	7	191398	191976	-	579	140	106	111	94	108	117
YGL164C	7	191978	193300	-	1323	5639	7685	5057	4955	7500	3483
YGL163C	7	193707	196403	-	2697	2233	3467	2925	3046	6704	2438
YGL162W	7	198138	199037	+	900	913	2242	679	958	1437	1387
YGL161C	7	199210	200142	-	933	7878	10291	5242	7758	6908	5772
YGL160W	7	200561	202273	+	1713	965	3518	1454	2170	2863	1886
YGL159W	7	202721	203833	+	1113	2537	1678	1883	1805	2317	1485
YGL158W	7	207033	208571	+	1539	298	305	611	596	442	1308
YGL157W	7	209006	210049	+	1044	548	570	730	739	878	759
YGL156W	7	210416	213667	+	3252	5165	22363	8818	14211	27982	11530
YGL155W	7	214081	215211	+	1131	3829	3165	3083	2423	4184	2276
YGL154C	7	215278	216096	-	819	1483	2465	1361	2019	2215	1998
YGL153W	7	216273	217298	+	1026	10100	12303	7368	7687	10126	5899
YGL152C	7	216692	217369	-	678	52	49	22	50	12	42
YGL151W	7	217524	220922	+	3399	5691	7584	6201	6029	7941	4853
YGL150C	7	221104	225573	-	4470	15538	23225	21505	18653	30098	13541
YGL149W	7	225572	225877	+	306	18	14	19	24	12	12
YGL148W	7	226399	227529	+	1131	24431	11351	21257	11028	26327	8977
YGL147C	7	227754	228329	-	576	80921	23337	50215	24466	52231	23993
YGL146C	7	228751	229686	-	936	2385	1960	1691	1235	2789	1276
YGL145W	7	230243	232348	+	2106	5540	4446	5091	3290	5115	2860
YGL144C	7	232450	234507	-	2058	1368	2067	2425	1840	4290	1620
YGL143C	7	234717	235958	-	1242	2863	3583	1934	2883	3338	2054
YGL142C	7	236269	238119	-	1851	3564	4065	2974	2918	3245	2215
YGL141W	7	238353	241085	+	2733	4461	7237	4045	5721	7632	4995
YGL140C	7	241353	245012	-	3660	22707	15263	16028	10151	18286	7977
YGL139W	7	245716	248124	+	2409	5937	5915	4849	3443	5278	2762
YGL138C	7	248494	249531	-	1038	6	27	14	12	27	15
YGL137W	7	249869	252738	+	2870	23144	28113	20781	20333	29057	15250
YGL136C	7	252897	253859	-	963	3626	3454	2680	3115	3755	2688
YGL135W	7	254641	255294	+	654	68318	41329	61789	40155	67001	44033
YGL134W	7	255663	256964	+	1302	6451	10753	5088	6150	8507	5424
YGL133W	7	257707	261501	+	3795	4891	12916	9613	9926	16177	8022
YGL132W	7	261580	261915	+	336	12	48	35	31	44	29
YGL131C	7	261648	265859	-	4212	6249	12496	7529	9295	13844	7373
YGL130W	7	266145	267524	+	1380	6189	6464	5190	4331	6964	3559
YGL129C	7	267723	269075	-	1353	6450	7760	7267	7055	6283	4552
YGL128C	7	269293	270144	-	852	253	590	391	480	982	419
YGL127C	7	270392	270775	-	384	492	2066	2726	2940	2405	2278
YGL126W	7	270997	272139	+	1143	3434	2597	3303	2628	3333	2023
YGL125W	7	272520	274322	+	1803	5112	7331	8397	4980	13748	3703
YGL124C	7	274780	276714	-	1935	2509	4240	2527	2806	3713	2451
YGL123W	7	277617	278381	+	765	198090	100352	135257	87186	155692	85736
YGL123C-A	7	277634	277864	-	231	431	171	298	171	225	311
YGL122C	7	278946	280523	-	1578	4602	17229	9326	10902	12109	8068
YGL121C	7	280777	281157	-	381	8561	33350	13535	27612	28364	27135
YGL120C	7	281634	283937	-	2304	13461	4194	32540	11850	30879	9954
YGL119W	7	284442	285947	+	1506	4022	4230	6159	4574	6661	3581
YGL118C	7	288014	288451	-	438	27	41	40	65	45	45
YGL117W	7	288512	289309	+	798	3983	3611	3685	2347	5198	2982
YGL116W	7	289809	291641	+	1833	1086	3370	3692	3035	4134	2659
YGL115W	7	292033	293001	+	969	5983	7190	3977	5456	4959	4618
YGL114W	7	293460	295637	+	2178	5459	5224	5055	3718	6138	3055
YGL113W	7	295932	297938	+	2007	4734	4494	5210	3980	6738	3400
YGL112C	7	298178	299728	-	1551	3646	4902	4181	3968	5664	3239
YGL111W	7	299978	301369	+	1392	9013	3929	11259	4835	11609	4175
YGL110C	7	301537	303411	-	1875	4385	4858	4180	3502	6815	2699
YGL109W	7	303513	303836	+	324	18	36	23	49	19	48
YGL108C	7	303649	304071	-	423	5403	5265	3693	4028	4482	3147
YGL107C	7	304333	306273	-	1941	2341	3222	2868	2517	5172	2179
YGL106W	7	306560	307009	+	450	8053	10692	7625	8874	10662	8315
YGL105W	7	307437	308567	+	1131	8257	38384	25079	28645	40743	23520
YGL104C	7	308713	310173	-	1461	922	3638	863	2760	1442	1823
YGL103W	7	310967	311927	+	961	200902	105943	146328	106692	167935	109336
YGL102C	7	311505	311933	-	429	338	124	216	132	173	213
YGL101W	7	312193	312840	+	648	4537	6548	5558	4663	4799	4082
YGL100W	7	313234	314283	+	1050	3755	6119	4713	5063	7480	4576
YGL099W	7	314631	316553	+	1923	3452	4763	6884	5453	10792	4902
YGL098W	7	317342	318079	+	738	4021	3605	2656	2613	3364	2041
YGL097W	7	321782	323230	+	1449	13253	6274	7743	5138	9678	4181
YGL096W	7	325331	326161	+	831	1375	4762	2458	6083	4429	4975
YGL095C	7	328874	330607	-	1734	7418	8194	6458	5773	8248	4625
YGL094C	7	331118	334465	-	3348	6759	12395	9604	10568	16102	8412
YGL093W	7	334886	337639	+	2754	5561	9188	4228	7115	7716	6196
YGL092W	7	337906	341859	+	3954	5868	8508	6681	5879	17642	5201
YGL091C	7	342056	343042	-	987	5240	4122	3101	3063	3779	2829
YGL090W	7	343319	344584	+	1266	1139	2145	1644	1513	5150	1273
YGL089C	7	344791	345153	-	363	22	36	18	23	42	26
YGL088W	7	345836	346201	+	366	328911	281959	229288	210059	267739	215288
YGL087C	7	346406	346904	-	499	4768	8790	4589	6691	6162	6276
YGL086W	7	347119	349368	+	2250	11768	9634	9252	6600	10578	5550
YGL085W	7	349616	350440	+	825	2714	2298	2179	2059	2886	1807
YGL084C	7	350616	352298	-	1683	2536	5442	2880	3455	3638	2458
YGL083W	7	353058	355472	+	2415	337	2166	688	1492	2406	1358
YGL082W	7	355827	356972	+	1146	4234	5026	2501	4040	3918	3522
YGL081W	7	357377	358339	+	963	138	567	228	489	624	394
YGL080W	7	358636	359028	+	393	9032	15147	6256	7720	8643	7184
YGL079W	7	359444	360100	+	657	1416	1638	1553	1657	2356	1535
YGL078C	7	360288	361859	-	1572	25151	6063	25949	8207	21329	6895
YGL077C	7	362225	363916	-	1692	16386	9758	15802	6937	10241	5878
YGL076C	7	364335	365996	-	1662	19961	34600	38200	32516	54325	34233
YGL075C	7	366925	368088	-	1164	2077	2111	1416	1835	2687	1480
YGL074C	7	368596	368922	-	327	17	21	8	18	24	16
YGL073W	7	368753	371254	+	2502	6950	13201	7218	9531	13767	7596
YGL072C	7	371003	371362	-	360	183	153	88	140	121	125
YGL071W	7	372012	374084	+	2073	1310	1766	1612	1334	5550	1104
YGL070C	7	374459	374827	-	369	3752	2466	2895	2118	3178	2177
YGL069C	7	375050	375514	-	465	20	41	39	21	33	37
YGL068W	7	375087	375671	+	585	6402	7212	4116	6618	5844	5109
YGL067W	7	376101	377255	+	1155	1096	1620	1406	1332	3347	1140
YGL066W	7	377609	379582	+	1974	3446	8564	5143	5129	8285	4345
YGL065C	7	379760	381271	-	1512	1012	2136	1542	1685	1778	1385
YGL064C	7	381523	383208	-	1686	3205	1830	3664	2078	3013	1491
YGL063W	7	383654	384766	+	1113	2004	2130	2094	1652	2551	1481
YGL063C-A	7	384502	384651	-	150	9	20	8	11	9	3
YGL062W	7	385196	388732	+	3537	23144	61921	37299	40466	49461	33525
YGL061C	7	388968	389711	-	744	3767	2852	2150	2452	3773	1830
YGL060W	7	390065	391990	+	1926	1058	1686	1234	1510	2394	1233
YGL059W	7	392223	393698	+	1476	5726	8891	3173	5834	5474	5272
YGL058W	7	393986	394504	+	519	6145	4757	6475	4632	6957	3745
YGL057C	7	394966	395829	-	864	3194	3144	2812	2676	3811	2365
YGL056C	7	396035	397618	-	1584	4818	8505	7003	5130	14006	4828
YGL055W	7	398628	400160	+	1533	152280	251758	127501	136877	109860	98686
YGL054C	7	400871	401287	-	417	11527	12460	10027	10090	11305	9602
YGL053W	7	402589	403302	+	714	1536	5717	1972	3761	2667	2653
YGL052W	7	403437	403742	+	306	322	1323	463	980	607	569
YGL051W	7	403687	404391	+	705	102	160	110	125	102	79
YGL050W	7	405776	406597	+	822	4128	3274	3441	2698	5219	2480
YGL049C	7	406860	409604	-	2745	1472	5503	3101	3481	8108	2653
YGL048C	7	410069	411286	-	1218	13547	19186	9826	12904	14155	10044
YGL047W	7	411552	412160	+	609	1551	2691	864	2078	2197	2063
YGL045W	7	414102	415730	+	1629	1194	2661	1776	2206	3666	2151
YGL044C	7	416146	417036	-	891	5500	3555	3944	3204	5195	2382
YGL043W	7	417483	418412	+	930	2234	4338	4073	3962	9509	3496
YGL042C	7	418288	418593	-	306	11	35	25	22	22	49
YGL041C-B	7	418704	418886	-	183	30	29	15	31	21	24
YGL041W-A	7	418825	419289	+	465	5561	5303	3307	3979	4039	3176
YGL041C	7	419022	419225	-	204	77	70	44	61	54	54
YGL040C	7	419527	420555	-	1029	3613	5731	3721	4398	4220	3635
YGL039W	7	423961	425007	+	1047	972	2023	1219	2189	1475	1351
YGL038C	7	425362	426804	-	1443	4596	8942	4503	7151	9813	4741
YGL037C	7	427297	427947	-	651	23716	60492	9987	57324	22841	48057
YGL036W	7	428601	431330	+	2730	1434	4590	1548	3494	5004	2899
YGL035C	7	431548	433062	-	1515	2928	11614	7160	9861	15993	8931
YGL034C	7	433214	433579	-	366	43	72	75	68	105	48
YGL033W	7	435625	436401	+	777	207	278	201	240	231	190
YGL032C	7	436570	436833	-	264	186	989	847	956	770	707
YGL031C	7	437467	438397	-	931	75654	48394	65395	51343	80789	49514
YGL030W	7	439091	439638	+	548	48486	39722	49665	37729	56335	40989
YGL029W	7	440063	440425	+	363	13860	3217	18082	6604	14249	4986
YGL028C	7	441281	442909	-	1629	3934	5715	6312	3373	10414	3477
YGL027C	7	443642	446143	-	2502	9119	10075	6328	6191	8940	3957
YGL026C	7	446412	448535	-	2124	24425	19915	25978	16085	28215	13531
YGL025C	7	448764	449957	-	1194	1357	3975	2059	2359	4256	2145
YGL024W	7	449788	450123	+	336	4	13	7	8	7	5
YGL023C	7	450197	452104	-	1908	9432	13828	10991	10260	16035	7828
YGL022W	7	452404	454560	+	2157	12962	17001	11662	8658	13088	6470
